year,price,transmission,mileage,fuelType,engineSize
2014,16360.0,Semi-Auto,46425.0,Diesel,2.1
2019,26350.0,Automatic,7712.0,Diesel,1.6
2017,15999.0,Semi-Auto,34301.0,Diesel,2.1
2017,21995.0,Automatic,17413.0,Diesel,2.1
2015,14490.0,Semi-Auto,58502.0,Diesel,2.1
2016,15675.0,Manual,39287.0,Diesel,2.1
2018,22498.0,Semi-Auto,3900.0,Diesel,2.1
2016,19998.0,Semi-Auto,34850.0,Hybrid,2.0
2016,15699.0,Automatic,30173.0,Diesel,2.1
2019,34995.0,Automatic,5999.0,Diesel,2.0
2016,18800.0,Automatic,54000.0,Diesel,2.1
2018,22549.0,Semi-Auto,16961.0,Petrol,1.5
2016,32980.0,Automatic,18389.0,Petrol,3.0
2019,31346.0,Automatic,3001.0,Petrol,2.0
2019,24202.0,Automatic,8252.0,Petrol,1.5
2019,25849.0,Semi-Auto,6685.0,Petrol,1.5
2019,23389.0,Semi-Auto,14339.0,Diesel,2.0
2017,19199.0,Automatic,45960.0,Hybrid,2.0
2019,28299.0,Automatic,1142.0,Petrol,2.0
2016,13000.0,Automatic,53065.0,Diesel,2.1
2019,29480.0,Semi-Auto,2998.0,Petrol,1.5
2019,28599.0,Semi-Auto,901.0,Diesel,2.0
2017,20480.0,Semi-Auto,12283.0,Diesel,2.1
2017,18995.0,Automatic,11800.0,Diesel,2.1
2019,29249.0,Semi-Auto,12972.0,Diesel,2.0
2019,38995.0,Semi-Auto,12357.0,Petrol,3.0
2019,24680.0,Semi-Auto,10795.0,Petrol,1.5
2019,26949.0,Automatic,6296.0,Diesel,1.6
2017,19347.0,Automatic,21032.0,Hybrid,2.0
2017,20491.0,Semi-Auto,27993.0,Diesel,2.1
2019,28980.0,Automatic,2950.0,Petrol,2.0
2019,25699.0,Semi-Auto,13044.0,Diesel,2.0
2019,25590.0,Automatic,2326.0,Petrol,1.5
2015,15995.0,Automatic,46221.0,Diesel,2.1
2018,25891.0,Semi-Auto,2240.0,Petrol,2.0
2017,17495.0,Semi-Auto,25149.0,Petrol,2.0
2019,28999.0,Semi-Auto,5789.0,Diesel,2.0
2019,28180.0,Automatic,5477.0,Diesel,2.1
2015,15250.0,Semi-Auto,43348.0,Diesel,2.1
2020,33509.0,Semi-Auto,1000.0,Petrol,2.0
2019,33789.0,Automatic,1000.0,Diesel,2.0
2018,27725.0,Automatic,13037.0,Diesel,2.0
2019,25999.0,Semi-Auto,5910.0,Petrol,1.5
2019,24999.0,Semi-Auto,11842.0,Petrol,1.5
2019,34987.0,Automatic,2791.0,Diesel,2.0
2017,32124.0,Automatic,19097.0,Petrol,3.0
2019,38999.0,Automatic,4300.0,Petrol,3.0
2015,11400.0,Manual,25698.0,Diesel,1.6
2017,24999.0,Semi-Auto,21210.0,Diesel,2.1
2019,32999.0,Semi-Auto,2136.0,Diesel,2.0
2019,25980.0,Semi-Auto,13012.0,Petrol,1.5
2019,26396.0,Automatic,2638.0,Petrol,1.5
2012,10899.0,Automatic,49029.0,Diesel,2.1
2018,19840.0,Automatic,14467.0,Diesel,2.1
2017,23295.0,Automatic,25876.0,Diesel,2.1
2019,33480.0,Semi-Auto,2330.0,Diesel,2.0
2019,31980.0,Semi-Auto,16.0,Petrol,1.5
2017,34981.0,Semi-Auto,28174.0,Petrol,4.0
2019,31779.0,Semi-Auto,1000.0,Diesel,1.6
2019,32624.0,Semi-Auto,4499.0,Petrol,1.5
2013,11998.0,Semi-Auto,31706.0,Diesel,2.1
2016,15300.0,Automatic,48507.0,Diesel,2.1
2018,28842.0,Semi-Auto,10879.0,Diesel,2.0
2015,10500.0,Manual,82230.0,Diesel,2.1
2016,16998.0,Semi-Auto,26973.0,Diesel,1.6
2019,28750.0,Automatic,9156.0,Diesel,2.0
2015,13621.0,Semi-Auto,57066.0,Diesel,1.6
2017,16690.0,Semi-Auto,30199.0,Diesel,2.1
2019,29999.0,Semi-Auto,13109.0,Diesel,2.0
2019,23780.0,Semi-Auto,14663.0,Petrol,1.5
2019,24950.0,Automatic,6224.0,Petrol,1.5
2019,32699.0,Automatic,2100.0,Diesel,2.0
2016,21000.0,Automatic,21547.0,Diesel,2.1
2019,28599.0,Semi-Auto,970.0,Diesel,1.6
2016,20299.0,Semi-Auto,6605.0,Petrol,2.0
2019,27999.0,Automatic,649.0,Petrol,1.5
2017,19499.0,Semi-Auto,25241.0,Diesel,2.1
2015,12000.0,Automatic,40005.0,Diesel,2.1
2019,28660.0,Automatic,1610.0,Diesel,2.0
2017,19000.0,Semi-Auto,17329.0,Diesel,2.1
2019,30799.0,Automatic,1812.0,Petrol,1.5
2018,24810.0,Semi-Auto,20496.0,Diesel,2.1
2015,19825.0,Automatic,58873.0,Diesel,2.1
2016,21502.0,Semi-Auto,17109.0,Diesel,2.1
2018,20889.0,Semi-Auto,8493.0,Petrol,1.5
2019,23900.0,Semi-Auto,14755.0,Petrol,1.5
2019,29124.0,Semi-Auto,2625.0,Petrol,1.5
2019,26799.0,Semi-Auto,4793.0,Diesel,1.6
2015,19100.0,Automatic,12586.0,Hybrid,2.0
2017,30124.0,Semi-Auto,22437.0,Petrol,3.0
2016,17672.0,Automatic,31656.0,Diesel,2.1
2014,14786.0,Automatic,41701.0,Diesel,2.1
2019,19899.0,Semi-Auto,13516.0,Petrol,1.5
2019,26049.0,Semi-Auto,9785.0,Petrol,1.5
2019,30199.0,Semi-Auto,10738.0,Diesel,2.0
2019,41500.0,Semi-Auto,3805.0,Petrol,3.0
2019,28995.0,Automatic,5650.0,Diesel,2.1
2015,11000.0,Manual,83193.0,Diesel,2.1
2018,25049.0,Semi-Auto,6550.0,Diesel,1.6
2016,17990.0,Semi-Auto,51300.0,Diesel,2.1
2019,28991.0,Automatic,4000.0,Petrol,1.6
2019,31890.0,Automatic,3150.0,Petrol,2.0
2019,33299.0,Semi-Auto,2838.0,Petrol,2.0
2016,17440.0,Automatic,25374.0,Diesel,2.1
2019,28999.0,Semi-Auto,4606.0,Diesel,2.0
2018,20900.0,Automatic,12500.0,Diesel,2.0
2019,20399.0,Semi-Auto,13793.0,Diesel,2.0
2017,18491.0,Semi-Auto,18390.0,Petrol,2.0
2016,22700.0,Automatic,48448.0,Diesel,2.1
2016,29189.0,Semi-Auto,20000.0,Petrol,3.0
2016,34380.0,Semi-Auto,15554.0,Petrol,3.0
2019,26999.0,Semi-Auto,3218.0,Diesel,1.6
2017,19000.0,Automatic,33891.0,Diesel,2.1
2017,18990.0,Semi-Auto,37730.0,Diesel,2.1
2015,14500.0,Semi-Auto,54000.0,Diesel,2.1
2019,27099.0,Semi-Auto,3598.0,Diesel,1.6
2018,26890.0,Semi-Auto,14085.0,Diesel,2.0
2019,29899.0,Semi-Auto,8447.0,Diesel,2.0
2019,30495.0,Semi-Auto,8771.0,Petrol,2.0
2019,26980.0,Semi-Auto,6584.0,Petrol,1.5
2019,19849.0,Semi-Auto,14085.0,Petrol,1.5
2019,28999.0,Semi-Auto,4938.0,Diesel,2.0
2019,43199.0,Semi-Auto,9551.0,Petrol,3.0
2015,18700.0,Automatic,39004.0,Diesel,2.1
2019,30480.0,Semi-Auto,6646.0,Diesel,2.0
2017,17800.0,Automatic,29831.0,Diesel,2.1
2019,29995.0,Semi-Auto,22.0,Diesel,2.0
2016,17999.0,Semi-Auto,28984.0,Diesel,2.1
2016,21133.0,Semi-Auto,46080.0,Diesel,2.1
2017,22498.0,Semi-Auto,20491.0,Hybrid,2.1
2018,26998.0,Automatic,15000.0,Petrol,2.0
2017,49991.0,Automatic,26000.0,Petrol,4.0
2018,27249.0,Automatic,8761.0,Diesel,2.0
2019,68399.0,Semi-Auto,1282.0,Petrol,4.0
2016,16750.0,Automatic,24909.0,Diesel,1.6
2019,28599.0,Semi-Auto,1171.0,Diesel,2.0
2018,23456.0,Automatic,26723.0,Diesel,2.1
2019,26399.0,Semi-Auto,3553.0,Petrol,2.0
2017,21980.0,Automatic,41539.0,Diesel,2.1
2016,14498.0,Manual,21945.0,Petrol,2.0
2019,20599.0,Semi-Auto,13004.0,Diesel,2.0
2016,19328.0,Automatic,25042.0,Diesel,2.1
2017,23990.0,Semi-Auto,19784.0,Petrol,2.0
2019,40649.0,Semi-Auto,11300.0,Petrol,3.0
2019,20682.0,Automatic,10920.0,Diesel,2.1
2018,18649.0,Semi-Auto,38277.0,Diesel,2.1
2016,19990.0,Automatic,50000.0,Diesel,2.1
2016,13600.0,Automatic,71077.0,Diesel,2.1
2019,34480.0,Semi-Auto,3446.0,Petrol,1.5
2017,17791.0,Semi-Auto,20392.0,Diesel,2.1
2019,29995.0,Semi-Auto,9.0,Diesel,2.0
2019,26699.0,Semi-Auto,10597.0,Petrol,1.5
2019,30799.0,Semi-Auto,7031.0,Diesel,2.0
2017,33499.0,Semi-Auto,30968.0,Petrol,3.0
2017,17599.0,Automatic,50212.0,Diesel,1.6
2019,30989.0,Semi-Auto,1000.0,Diesel,1.6
2016,12459.0,Automatic,93948.0,Diesel,2.1
2020,34999.0,Semi-Auto,1500.0,Petrol,1.5
2016,15870.0,Automatic,40998.0,Diesel,2.1
2020,37995.0,Semi-Auto,5000.0,Petrol,1.5
2016,15199.0,Automatic,47360.0,Diesel,2.1
2019,26799.0,Semi-Auto,2277.0,Petrol,1.5
2019,34199.0,Semi-Auto,4229.0,Diesel,2.0
2019,19849.0,Semi-Auto,13977.0,Petrol,1.5
2017,22767.0,Automatic,30676.0,Diesel,2.1
2015,14490.0,Automatic,64000.0,Diesel,2.1
2019,29980.0,Semi-Auto,9227.0,Diesel,2.0
2018,27832.0,Automatic,11847.0,Diesel,2.0
2017,15998.0,Semi-Auto,72939.0,Hybrid,2.0
2019,29899.0,Semi-Auto,12478.0,Diesel,2.0
2015,13999.0,Automatic,42492.0,Diesel,2.1
2016,27444.0,Automatic,36815.0,Petrol,3.0
2016,22549.0,Automatic,30385.0,Diesel,2.1
2018,23499.0,Semi-Auto,22000.0,Diesel,2.0
2015,17295.0,Automatic,34955.0,Diesel,2.1
2018,18799.0,Semi-Auto,14731.0,Petrol,1.5
2019,31980.0,Semi-Auto,9.0,Petrol,1.5
2014,13491.0,Manual,56000.0,Diesel,2.1
2019,36539.0,Semi-Auto,1000.0,Diesel,2.0
2019,26680.0,Semi-Auto,16548.0,Petrol,1.5
2015,17000.0,Automatic,17222.0,Petrol,2.0
2016,19498.0,Semi-Auto,22803.0,Diesel,2.1
2018,28752.0,Semi-Auto,8786.0,Diesel,2.0
2016,19024.0,Semi-Auto,38974.0,Diesel,2.1
2019,22890.0,Automatic,6037.0,Petrol,1.5
2019,20990.0,Semi-Auto,3239.0,Diesel,1.6
2019,35399.0,Semi-Auto,1152.0,Petrol,1.5
2017,19465.0,Automatic,35599.0,Petrol,2.0
2016,11000.0,Manual,100950.0,Diesel,2.1
2019,28290.0,Automatic,5534.0,Diesel,2.0
2015,15499.0,Manual,36103.0,Diesel,2.1
2016,18000.0,Semi-Auto,24857.0,Diesel,2.1
2018,29099.0,Semi-Auto,4898.0,Diesel,2.0
2014,15701.0,Automatic,20498.0,Diesel,2.1
2017,17599.0,Semi-Auto,41107.0,Diesel,2.1
2017,26249.0,Automatic,22571.0,Diesel,2.1
2016,21995.0,Semi-Auto,13457.0,Diesel,2.1
2019,25299.0,Automatic,2499.0,Petrol,1.5
2014,25885.0,Semi-Auto,37000.0,Petrol,6.2
2019,25950.0,Automatic,10485.0,Petrol,1.5
2017,15600.0,Automatic,62498.0,Diesel,2.1
2017,17282.0,Semi-Auto,27107.0,Diesel,2.1
2019,39500.0,Semi-Auto,3466.0,Petrol,3.0
2018,36495.0,Automatic,5983.0,Petrol,3.0
2015,12599.0,Manual,50299.0,Diesel,1.6
2017,25998.0,Automatic,26914.0,Petrol,2.0
2018,19000.0,Automatic,23280.0,Petrol,2.0
2017,21595.0,Semi-Auto,12648.0,Diesel,2.1
2017,21535.0,Automatic,21149.0,Diesel,2.1
2017,20495.0,Semi-Auto,12505.0,Diesel,2.1
2016,18247.0,Automatic,16975.0,Hybrid,2.0
2017,15250.0,Semi-Auto,45431.0,Diesel,2.1
2012,5250.0,Automatic,170000.0,Diesel,2.1
2017,22290.0,Automatic,34587.0,Diesel,2.1
2019,25899.0,Semi-Auto,10662.0,Petrol,1.5
2015,15542.0,Semi-Auto,49436.0,Diesel,2.1
2018,34680.0,Automatic,13500.0,Petrol,3.0
2020,40991.0,Semi-Auto,1000.0,Diesel,2.0
2018,23247.0,Automatic,10137.0,Diesel,2.1
2019,45980.0,Semi-Auto,3830.0,Petrol,3.0
2019,31499.0,Automatic,2206.0,Diesel,2.0
2018,22991.0,Semi-Auto,7615.0,Diesel,2.1
2019,28995.0,Semi-Auto,4099.0,Petrol,1.5
2016,18000.0,Automatic,18406.0,Diesel,2.1
2016,17998.0,Semi-Auto,36587.0,Hybrid,2.0
2019,20999.0,Semi-Auto,13070.0,Diesel,2.0
2019,28980.0,Semi-Auto,9477.0,Diesel,2.0
2020,61995.0,Automatic,20.0,Petrol,4.0
2016,16950.0,Automatic,24080.0,Petrol,2.0
2020,31980.0,Automatic,500.0,Diesel,2.0
2019,29496.0,Automatic,6052.0,Diesel,2.0
2018,16800.0,Automatic,30726.0,Diesel,2.1
2019,29549.0,Semi-Auto,10576.0,Diesel,2.0
2016,16800.0,Semi-Auto,35800.0,Diesel,2.1
2016,17500.0,Automatic,35444.0,Diesel,2.1
2016,15900.0,Manual,9870.0,Diesel,1.6
2015,11500.0,Manual,42918.0,Petrol,2.0
2016,16215.0,Semi-Auto,43559.0,Diesel,2.1
2013,9990.0,Semi-Auto,41841.0,Diesel,2.1
2015,12980.0,Semi-Auto,46500.0,Diesel,2.1
2016,19000.0,Automatic,27574.0,Diesel,2.1
2019,19690.0,Automatic,13337.0,Diesel,2.0
2019,21940.0,Automatic,5149.0,Petrol,1.5
2019,27990.0,Automatic,5225.0,Petrol,1.5
2017,26790.0,Automatic,4910.0,Petrol,2.0
2019,34449.0,Semi-Auto,4070.0,Diesel,2.0
2019,29500.0,Semi-Auto,10939.0,Petrol,1.5
2020,30495.0,Automatic,1200.0,Diesel,2.0
2016,13499.0,Manual,61140.0,Diesel,2.1
2017,19991.0,Automatic,20843.0,Petrol,2.0
2019,27890.0,Automatic,10091.0,Diesel,2.0
2019,29999.0,Automatic,5283.0,Diesel,2.0
2016,17999.0,Semi-Auto,21040.0,Diesel,1.6
2018,21189.0,Automatic,10264.0,Diesel,2.1
2016,20700.0,Semi-Auto,27890.0,Diesel,2.1
2019,32399.0,Semi-Auto,2008.0,Petrol,1.5
2017,18495.0,Semi-Auto,18758.0,Petrol,2.0
2018,19980.0,Automatic,17973.0,Diesel,2.1
2018,28298.0,Automatic,13500.0,Diesel,2.1
2017,22395.0,Semi-Auto,26853.0,Diesel,2.1
2019,29480.0,Semi-Auto,10844.0,Petrol,2.0
2019,33799.0,Semi-Auto,5669.0,Diesel,2.0
2015,12000.0,Automatic,40005.0,Diesel,2.1
2019,36991.0,Automatic,3498.0,Diesel,2.0
2017,17998.0,Semi-Auto,16291.0,Petrol,2.0
2016,20990.0,Semi-Auto,36051.0,Diesel,2.1
2016,14000.0,Automatic,45000.0,Diesel,2.1
2019,30299.0,Semi-Auto,4284.0,Diesel,2.0
2014,13500.0,Automatic,49409.0,Diesel,2.1
2016,18480.0,Semi-Auto,14996.0,Diesel,2.1
2019,33599.0,Automatic,1734.0,Diesel,2.0
2020,30480.0,Semi-Auto,1989.0,Diesel,2.0
2018,27980.0,Semi-Auto,12173.0,Diesel,2.0
2019,28000.0,Semi-Auto,15026.0,Diesel,2.0
2014,14990.0,Semi-Auto,56958.0,Diesel,2.1
2019,23490.0,Semi-Auto,14833.0,Diesel,2.0
2015,16998.0,Semi-Auto,43883.0,Diesel,2.1
2019,27699.0,Semi-Auto,1714.0,Petrol,1.5
2016,22624.0,Semi-Auto,10271.0,Petrol,2.0
2018,19399.0,Automatic,9047.0,Diesel,2.1
2019,67980.0,Semi-Auto,3456.0,Petrol,4.0
2014,17000.0,Automatic,36115.0,Diesel,2.1
2019,27998.0,Automatic,5144.0,Diesel,2.0
2015,12000.0,Automatic,40005.0,Diesel,2.1
2016,16000.0,Manual,19019.0,Diesel,1.6
2017,27526.0,Automatic,15958.0,Petrol,3.0
2015,13990.0,Automatic,71000.0,Diesel,2.1
2019,25899.0,Semi-Auto,13027.0,Diesel,2.0
2017,19498.0,Semi-Auto,22424.0,Diesel,2.1
2017,19480.0,Semi-Auto,16419.0,Diesel,2.1
2019,28880.0,Automatic,7324.0,Petrol,1.5
2019,41400.0,Semi-Auto,3615.0,Petrol,3.0
2018,28749.0,Semi-Auto,6449.0,Diesel,2.0
2019,25999.0,Semi-Auto,13701.0,Petrol,1.5
2014,14288.0,Semi-Auto,54230.0,Diesel,2.1
2019,26780.0,Semi-Auto,10340.0,Diesel,2.0
2016,14220.0,Semi-Auto,45868.0,Diesel,2.1
2015,18999.0,Automatic,22499.0,Diesel,2.1
2015,17990.0,Automatic,34000.0,Diesel,2.1
2020,36809.0,Semi-Auto,1000.0,Petrol,1.5
2019,28990.0,Automatic,5904.0,Diesel,2.0
2019,25799.0,Semi-Auto,13571.0,Diesel,2.0
2017,18830.0,Semi-Auto,42437.0,Hybrid,2.0
2012,9499.0,Automatic,64000.0,Diesel,2.1
2017,44520.0,Automatic,12450.0,Petrol,4.0
2014,17250.0,Automatic,34772.0,Diesel,2.1
2019,30499.0,Semi-Auto,9426.0,Diesel,2.0
2017,20800.0,Automatic,23063.0,Diesel,2.1
2016,16695.0,Semi-Auto,41000.0,Diesel,2.1
2019,20149.0,Semi-Auto,11761.0,Petrol,1.5
2019,24980.0,Semi-Auto,6784.0,Petrol,1.5
2016,16950.0,Automatic,51700.0,Hybrid,2.0
2017,18998.0,Automatic,20949.0,Diesel,2.1
2017,20750.0,Automatic,22540.0,Hybrid,2.0
2019,44980.0,Semi-Auto,4887.0,Petrol,3.0
2017,15267.0,Manual,25820.0,Petrol,2.0
2015,18299.0,Automatic,31369.0,Diesel,2.1
2016,33500.0,Automatic,25000.0,Petrol,3.0
2017,18490.0,Semi-Auto,25584.0,Petrol,2.0
2019,30444.0,Automatic,3360.0,Diesel,1.6
2019,48491.0,Automatic,11347.0,Petrol,3.0
2017,18691.0,Automatic,48618.0,Diesel,2.1
2017,21498.0,Semi-Auto,20981.0,Diesel,2.1
2017,16500.0,Automatic,41272.0,Diesel,2.1
2019,29199.0,Semi-Auto,1357.0,Petrol,1.5
2019,33599.0,Semi-Auto,1000.0,Petrol,2.0
2017,15990.0,Automatic,53000.0,Diesel,2.1
2018,18500.0,Automatic,17771.0,Diesel,2.1
2017,22792.0,Semi-Auto,11163.0,Petrol,2.0
2019,29900.0,Automatic,6000.0,Petrol,2.0
2019,32069.0,Semi-Auto,1000.0,Diesel,2.0
2018,22980.0,Semi-Auto,18285.0,Diesel,2.1
2016,19991.0,Semi-Auto,35975.0,Diesel,2.1
2019,21400.0,Automatic,6000.0,Petrol,1.5
2016,18124.0,Semi-Auto,45868.0,Diesel,2.1
2017,23990.0,Semi-Auto,29000.0,Petrol,2.0
2019,43990.0,Automatic,3318.0,Hybrid,2.0
2019,44987.0,Automatic,1843.0,Petrol,3.0
2018,22000.0,Automatic,19825.0,Diesel,2.1
2015,15990.0,Automatic,43120.0,Diesel,2.1
2016,16998.0,Semi-Auto,21967.0,Petrol,2.0
2016,18624.0,Semi-Auto,21603.0,Petrol,2.0
2016,14999.0,Automatic,59243.0,Diesel,2.1
2020,35490.0,Automatic,2690.0,Diesel,2.0
2017,20591.0,Semi-Auto,21023.0,Diesel,2.1
2019,28400.0,Semi-Auto,1287.0,Diesel,2.0
2017,16995.0,Semi-Auto,19372.0,Diesel,1.6
2019,33599.0,Semi-Auto,2983.0,Diesel,2.0
2017,15700.0,Automatic,40285.0,Diesel,2.1
2016,23950.0,Automatic,25925.0,Diesel,2.1
2019,30995.0,Automatic,1499.0,Diesel,2.0
2019,27340.0,Automatic,3970.0,Petrol,2.0
2019,26599.0,Semi-Auto,8912.0,Diesel,2.0
2014,28990.0,Semi-Auto,19562.0,Petrol,6.2
2019,31999.0,Automatic,3000.0,Diesel,2.0
2019,25446.0,Automatic,16281.0,Petrol,1.5
2020,54000.0,Semi-Auto,250.0,Petrol,3.0
2019,34799.0,Semi-Auto,1941.0,Diesel,2.0
2019,29099.0,Semi-Auto,3820.0,Diesel,2.0
2019,27980.0,Semi-Auto,9731.0,Diesel,2.0
2018,26748.0,Automatic,17970.0,Diesel,2.1
2019,24499.0,Automatic,10635.0,Petrol,1.5
2019,25495.0,Semi-Auto,5947.0,Petrol,1.6
2015,18736.0,Semi-Auto,27276.0,Petrol,2.0
2016,15067.0,Manual,21553.0,Diesel,1.6
2019,37990.0,Automatic,1412.0,Petrol,3.0
2016,18449.0,Semi-Auto,23077.0,Diesel,2.1
2016,19699.0,Semi-Auto,30611.0,Diesel,2.1
2019,28799.0,Semi-Auto,2000.0,Diesel,2.0
2018,22549.0,Semi-Auto,19656.0,Diesel,2.0
2019,29699.0,Semi-Auto,5409.0,Diesel,2.0
2020,33599.0,Automatic,500.0,Diesel,2.0
2019,40924.0,Automatic,5325.0,Petrol,2.0
2017,23999.0,Automatic,32688.0,Petrol,2.0
2016,28890.0,Automatic,35550.0,Petrol,3.0
2015,13649.0,Semi-Auto,35464.0,Diesel,2.1
2019,20980.0,Semi-Auto,11412.0,Diesel,2.0
2019,22900.0,Semi-Auto,21481.0,Petrol,1.5
2019,29999.0,Semi-Auto,6266.0,Diesel,2.0
2015,18649.0,Semi-Auto,26314.0,Hybrid,2.0
2019,28999.0,Semi-Auto,2701.0,Petrol,1.6
2019,23399.0,Semi-Auto,3342.0,Petrol,1.5
2017,23995.0,Semi-Auto,32800.0,Diesel,2.1
2012,11000.0,Automatic,43426.0,Petrol,1.6
2019,27999.0,Automatic,7901.0,Petrol,2.0
2015,16395.0,Automatic,44086.0,Diesel,2.1
2016,16890.0,Automatic,47850.0,Diesel,2.1
2016,16326.0,Automatic,52819.0,Hybrid,2.0
2017,14488.0,Automatic,66472.0,Diesel,2.1
2019,44000.0,Semi-Auto,8023.0,Petrol,3.0
2016,18232.0,Semi-Auto,33085.0,Hybrid,2.0
2019,29592.0,Automatic,7325.0,Petrol,2.0
2016,19599.0,Automatic,33197.0,Diesel,2.1
2019,20980.0,Semi-Auto,13137.0,Petrol,1.5
2020,34995.0,Semi-Auto,5000.0,Diesel,2.0
2017,22950.0,Automatic,9000.0,Diesel,2.1
2014,16999.0,Semi-Auto,33593.0,Diesel,2.1
2019,23499.0,Semi-Auto,15242.0,Diesel,2.0
2016,35991.0,Automatic,18900.0,Petrol,4.0
2019,28000.0,Automatic,584.0,Diesel,2.0
2019,28299.0,Semi-Auto,5005.0,Diesel,2.0
2017,16092.0,Semi-Auto,48000.0,Diesel,2.1
2019,27690.0,Semi-Auto,8070.0,Petrol,2.0
2019,29980.0,Semi-Auto,9109.0,Diesel,2.0
2016,13000.0,Manual,22886.0,Diesel,2.1
2014,12900.0,Automatic,41000.0,Petrol,1.6
2019,25899.0,Semi-Auto,11151.0,Petrol,1.5
2019,32069.0,Automatic,1000.0,Diesel,2.0
2019,26099.0,Semi-Auto,9445.0,Petrol,1.5
2019,21449.0,Semi-Auto,20480.0,Petrol,1.5
2017,18999.0,Semi-Auto,31727.0,Diesel,2.1
2016,15975.0,Manual,37419.0,Petrol,2.0
2014,11750.0,Semi-Auto,77043.0,Diesel,2.1
2016,19499.0,Semi-Auto,26000.0,Diesel,2.1
2019,30995.0,Automatic,2499.0,Petrol,2.0
2018,25990.0,Automatic,12298.0,Petrol,1.5
2019,41070.0,Automatic,7969.0,Petrol,3.0
2020,39759.0,Semi-Auto,1000.0,Diesel,2.0
2020,36990.0,Semi-Auto,2151.0,Petrol,2.0
2016,17850.0,Automatic,20296.0,Diesel,2.1
2019,27595.0,Semi-Auto,11480.0,Diesel,2.0
2016,14000.0,Automatic,45000.0,Diesel,2.1
2019,31995.0,Automatic,2568.0,Petrol,2.0
2016,17902.0,Semi-Auto,29607.0,Diesel,1.6
2015,15495.0,Semi-Auto,21064.0,Petrol,2.0
2016,16199.0,Automatic,35822.0,Diesel,2.1
2016,13698.0,Semi-Auto,86965.0,Hybrid,2.0
2016,20000.0,Automatic,23676.0,Hybrid,2.0
2019,25799.0,Semi-Auto,1000.0,Petrol,1.5
2015,15970.0,Automatic,81423.0,Diesel,2.1
2016,20199.0,Semi-Auto,34400.0,Diesel,2.1
2017,22400.0,Automatic,37000.0,Diesel,2.1
2020,34500.0,Semi-Auto,100.0,Diesel,2.0
2019,40099.0,Semi-Auto,11267.0,Petrol,3.0
2019,29699.0,Semi-Auto,4279.0,Diesel,2.0
2020,48879.0,Semi-Auto,1000.0,Petrol,3.0
2019,30399.0,Semi-Auto,7163.0,Diesel,2.0
2018,18999.0,Automatic,31708.0,Diesel,2.1
2019,27810.0,Automatic,6621.0,Diesel,2.0
2015,12999.0,Manual,18766.0,Petrol,2.0
2019,35991.0,Automatic,5376.0,Petrol,3.0
2017,31399.0,Semi-Auto,19224.0,Petrol,3.0
2016,19799.0,Semi-Auto,21086.0,Diesel,2.1
2019,30236.0,Automatic,7831.0,Petrol,2.0
2015,13498.0,Manual,38438.0,Diesel,2.1
2017,22479.0,Semi-Auto,30200.0,Diesel,2.1
2019,24736.0,Semi-Auto,10605.0,Diesel,2.0
2017,18970.0,Automatic,19858.0,Diesel,1.6
2019,20299.0,Semi-Auto,14123.0,Petrol,1.5
2017,23999.0,Semi-Auto,21212.0,Diesel,2.1
2019,24940.0,Semi-Auto,15275.0,Petrol,1.5
2014,14800.0,Automatic,55445.0,Diesel,2.1
2016,20365.0,Semi-Auto,21430.0,Petrol,2.0
2019,22900.0,Automatic,9050.0,Petrol,1.6
2018,16999.0,Automatic,26329.0,Petrol,2.0
2016,16498.0,Semi-Auto,27034.0,Diesel,1.6
2015,10795.0,Automatic,136760.0,Hybrid,2.1
2017,35499.0,Automatic,10709.0,Petrol,3.0
2014,11750.0,Semi-Auto,77043.0,Diesel,2.1
2019,19799.0,Semi-Auto,14272.0,Petrol,1.5
2018,23390.0,Semi-Auto,16045.0,Diesel,2.0
2015,12800.0,Manual,41945.0,Diesel,2.1
2016,19698.0,Automatic,25107.0,Hybrid,2.0
2015,12499.0,Automatic,67795.0,Diesel,2.1
2019,23490.0,Semi-Auto,10530.0,Petrol,1.5
2019,25980.0,Semi-Auto,11581.0,Diesel,2.0
2018,18450.0,Automatic,30460.0,Diesel,2.1
2018,29199.0,Semi-Auto,4699.0,Diesel,2.0
2015,12490.0,Manual,68600.0,Diesel,2.1
2019,30436.0,Automatic,10335.0,Diesel,2.0
2016,20105.0,Automatic,14965.0,Diesel,2.1
2019,31480.0,Semi-Auto,2090.0,Petrol,1.5
2017,24202.0,Automatic,20698.0,Diesel,2.1
2014,11000.0,Semi-Auto,71892.0,Diesel,2.1
2017,21000.0,Semi-Auto,19566.0,Diesel,2.1
2018,24480.0,Semi-Auto,10859.0,Diesel,2.1
2016,19999.0,Semi-Auto,24137.0,Petrol,2.0
2015,13300.0,Manual,64219.0,Diesel,2.1
2019,32699.0,Semi-Auto,1362.0,Diesel,2.0
2018,38123.0,Automatic,8233.0,Petrol,3.0
2015,12000.0,Automatic,40005.0,Diesel,2.1
2019,23495.0,Automatic,12449.0,Petrol,1.5
2015,16975.0,Automatic,42000.0,Diesel,2.1
2018,20489.0,Semi-Auto,16900.0,Diesel,2.1
2015,17699.0,Automatic,56546.0,Hybrid,2.1
2016,16452.0,Semi-Auto,69564.0,Diesel,2.1
2019,29046.0,Automatic,5971.0,Diesel,2.0
2016,14700.0,Automatic,59023.0,Diesel,1.6
2014,14399.0,Automatic,73598.0,Diesel,2.1
